title	summary	website
BCL9 provides multi-cellular communication properties in colorectal cancer by interacting with paraspeckle proteins	Colorectal cancer (CRC) is the third most commonly diagnosed cancer, which despite recent advances in treatment, remains incurable due to molecular heterogeneity of tumor cells. The B-cell lymphoma 9 (BCL9) oncogene functions as a transcriptional co-activator of the Wnt/β-catenin pathway, which plays critical roles in CRC pathogenesis.  Here we have identified a β-catenin-independent function of BCL9 in a poor-prognosis subtype of CRC tumors characterized by expression of stromal and neural associated genes. In response to spontaneous calcium transients or cellular stress, BCL9 is recruited adjacent to the interchromosomal regions, where it stabilizes the mRNA of calcium signaling and neural associated genes by interacting with paraspeckle proteins. BCL9 subsequently promotes tumor progression and remodeling of the tumor microenvironment (TME) by sustaining the calcium transients and neurotransmitter-dependent communication among CRC cells. These data provide additional insights into the role of BCL9 in tumor pathogenesis and point towards additional avenues for therapeutic intervention.	http://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD016172
Aging-related proteome alterations in B cells may predispose for chronic lymphocytic leukemia - nuclear proteins of elderly B cells	Chronic lymphocytic leukemia (CLL), the most common type of leukemia in adults, is still incurable despite the development of novel therapeutic strategies. This reflects the incomplete understanding of the pathophysiology of this disease. In order to get more detailed insights into CLL development, we performed a comprehensive proteome analysis of primary human CLL cells and B cells from young and age-matched healthy individuals. For comparison, we also analyzed the chronic B cell leukemia cell line JVM-13 showing rather limited similarity to the primary cells. A principal component analysis comprising 6945 proteins separated these four groups, placing B cells of aged-matched controls between those of young donors and CLL patients. Remarkably, B cells from aged controls displayed significant regulation of proteins related to metabolic processes and stress response in mitochondria such as DLAT, FIS1 and NDUFAB1 as well as DNA repair including RAD9A, MGMT and XPA. Interestingly, these alterations apparently correlating with aging of B cells may also be essential for tumorigenesis and were observed similarly in CLL cells. In CLL cells, in addition, some remarkable unique features like the loss of tumor suppressor molecules PNN and JARID2, and high expression of CCDC88A, PIGR and ID3 otherwise associated with epithelial mesenchymal transition and stemness were determined. Furthermore, while typical hallmarks of cancer such as cell proliferation were hardly apparent for CLL cells, alterations of metabolic enzymes were another outstanding feature in comparison to normal B cells, indicating increased beta-oxidation of fatty acids and increased consumption of glutamine. Targeted metabolomics assays corroborated these results. The present findings identify previously unrecognized features of CLL cells and suggest that aging may be accompanied by proteome alterations functionally relevant for predisposing B cells to transform to CLL cells.	http://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD006571
Alterations in Extracellular Matrix Composition during Aging and Photoaging of the Skin	Human skin is composed of the cell-rich epidermis, the extracellular matrix (ECM) rich dermis, and the hypodermis. Within the dermis, a dense network of ECM proteins provides structural support to the skin and regulates a wide variety of signaling pathways which govern cell proliferation and other critical processes. Both intrinsic aging, which occurs steadily over time, and extrinsic aging (photoaging), which occurs as a result of external insults such as UV radiation, cause alterations to the dermal ECM. In this study, we utilized both quantitative and global proteomics, alongside single harmonic generation (SHG) and two-photon autofluorescence (TPAF) imaging, to assess changes in dermal composition during intrinsic and extrinsic aging. We find that both intrinsic and extrinsic aging result in significant decreases in structural ECM integrity, evidenced by decreasing collagen abundance and increasing fibril fragmentation, and ECM-supporting proteoglycans. Intrinsic aging also produces changes distinct from those produced by photoaging, including reductions in elastic fiber and crosslinking enzyme abundance. In contrast, photoaging is primarily defined by increases in elastic fiber-associated protein and pro-inflammatory proteases. Changes induced by photoaging are evident even in comparisons of young underarm and forearm skin, indicating that photoexposure experienced by an individual’s mid-20s is sufficient for large-scale proteomic alterations and that molecular-level changes due to photoaging are evident well before clinical indications are present. GO term enrichment revealed that both intrinsic aging and photoaging share common features of chronic inflammation.	http://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD015982
Human lung adenocarcinoma tissue LC-MS/MS	This project is a report of a chromosome-based human proteome project focused on chromosome 9 (Chr 9). To reveal missing proteins and undiscovered features in proteomes, LC-MS/MS analysis based identification and characterization were conducted on 5 pairs of lung adenocarcinoma tumors and adjacent non-tumor tissues.	http://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD002523
Comprehensive proteome profiling of platelet identified a protein profile predictive of responses to an antiplatelet agent sarpogrelate.	Here, we performed a comprehensive proteome profiling of platelets collected from 18 healthy subjects before and after administration of sarpogrelate. For each subject, platelets were isolated before and then again after drug administration to investigate the alteration in the platelet proteome by sarpogrelate. A sample preparation method involving filter-aided sample preparation (FASP) was used to improve extraction of proteins including both soluble and membraneous proteins. Moreover, an ultra-high pressure liquid chromatography-tandem mass spectrometry (UHPLC-MS/MS) coupled with extensive fractionation was used to generate a comprehensive proteome of platelets.	http://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD003613
ozone-derived oxisterols impair lung macrophage phagocytosis via adduction of phagocytosis receptors	Inhalation of the amibient air polution ozone causes lung inflammation and can suppress host defense mechanisms, including impairing macrophage phagocytosis. Ozone reacts with cholesterol in the lung to form oxysterols, like secosterol A and secosterol B, which can form covalent adducts on cellular proteins. How oxysterol-protein adduction modifies the function of lung macrophages is unknown. Herein, we used a preoteomic screen to identify lung macrophage proteins that fomr adducts with ozone-derived oxysterols. Analysis show that the phagocytic receptor CD206 and CD64 formed adducts with secosterol A. Adduction of these receptors with ozone-derived oxysterols impaired ligand binding and corresponded with reduced macrophage phagocytosis. This work suggests a novle mechanism for the suppression of macrophage phagocytosis following ozone exposure through the generation of oxysterols and the formation of oxysterol-protein adducts on phagocytic receptors.	http://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD019317
Proteomics of Extracellular Vesicles Harvested with ExtraPEG	Polyethylene glycol (PEG) is commonly used to isolate virus particles from culture medium. This project adapted and optimized the virus procedure for harvesting extracellular vesicles (of similar biophysical properties to viruses) from media. An 8% PEG solution harvested the purest vesicles. Followed by a wash step (ultracentrifugation of concentrated vesicles in saline), this method produced preparations comparable or superior to commonly used methods in terms of purity, abundance, and cost. It is also highly adaptable, allowing the procedure to be used for enriching vesicles from a variety of biological fluids. As proof of principle, extracellular vesicle protein was successfully harvested from HeLa cell medium using the described PEG-based harvest method and analyzed by mass spectrophotometry.	http://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD003209
Senescence 6 -  Proteomic analysis reveals a role for Bcl2-associated athanogene 3 and major vault protein in resistance to apoptosis in senescent cells by regulating ERK1/2 activation	Bag3 and MVP regulate apoptosis resistance in Therapy Induced Senescence (TIS)	http://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD001017
Quantification of cytokines secreted by primary human cells using MRM: evaluation of analytical parameters – shotgun secretome data of inflammatory stimulated HUVECs	The determination of secreted proteins may provide highly valuable information about cell functions. While the typical methods for the determination of biologically relevant but low-abundant molecular species still relies on the use of specific antibodies, mass spectrometry-based methods are now gaining sufficient sensitivity to cope with such challenges. In the current study we have identified several cytokines and chemokines which were induced by inflammatory activation of primary human umbilical vein endothelial cells. Based on the high-resolution mass spectrometry data obtained with a Q Exactive orbitrap, we built an MRM method to quantify the most relevant molecules selected from the screening experiment. Using nano-flow Chip-HPLC coupled to a 6490 triple-quadrupole MS for MRM analyses we achieved calibration curves covering a linear range of four orders of magnitude and detection limits in the low attomol per microliter concentration range. Carryover was consistently less than 0.005%, the accuracy between 80% and 120% and the median coefficient of variation for LC/MS was only 2.2%. When including the variance introduced by biological replicates and the digestion procedure, the coefficient of variation was less than 20% for most peptides. Selection of appropriate marker molecules allowed us to monitor typical cell culture variations such as different cell densities, proliferative states and the occurrence of cell death. As a result, here we present a robust and efficient MRM-based assay for the accurate and sensitive determination of cytokines and chemokines representative for functional cell states and including comprehensive quality controls.	http://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD002211
Proteomic Analysis of Protein in Human Fingerprints and Artificial Fingerprints	Quantitative genomic and proteomic evaluation of human latent fingerprint depositions represents a challenge within the forensic field, due to the high variability in the amount of DNA and protein initially deposited. To better assess recovery techniques for touch depositions, we present a method to produce simple and customizable artificial fingerprints. Capitalizing on recent advancements in the use of protein sequence identification for human forensic analysis, these samples contain a representative quantity of protein, originating from epidermal skin cells collected from the fingers and palms of volunteers. Proteomic sequencing by liquid chromatography-tandem mass spectrometry (LC-MS/MS) analysis indicates a high level of protein overlap between artificial and latent prints.	http://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD015445
Protein abundance comparison of human cells infected with Shigella flexneri over different time periods	The enteroinvasive bacterium Shigella flexneri invades the intestinal epithelium of humans. During infection, several injected effector proteins promote bacterial internalization, and interfere with multiple host cell responses. To obtain a systems-level overview of host signaling during infection, we analyzed the global dynamics of protein phosphorylation by LC-MS/MS and identified several hundred of proteins undergoing a phosphorylation change during the first hours of infection. Functional bioinformatic analysis revealed that they were mostly related to the cytoskeleton, transcription, signal transduction, and cell cycle. Fuzzy c-means clustering identified six temporal profiles of phosphorylation and a functional module composed of ATM-phosphorylated proteins related to genotoxic stress. Pathway enrichment analysis defined mTOR as the most overrepresented pathway. We showed that mTOR complex 1 and 2 were required for S6 kinase and AKT activation, respectively. Comparison with a published phosphoproteome of Salmonella typhimurium-infected cells (PMID:21934108, PRIDE experiment accessions 18477 and 18485) revealed a large subset of co-regulated phosphoproteins. Finally, we showed that S. flexneri effector OspF affected the phosphorylation of several hundred proteins, thereby demonstrating the wide-reaching impact of a single bacterial effector on the host signaling network.	http://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD000219
Positional proteomics reveals differences in N-terminal proteoform stability.	To understand the impact of alternative translation initiation on a proteome, we performed the first large-scale study of protein turnover rates in which we distinguish between N-terminal proteoforms pointing to translation initiation events. Using pulsed SILAC combined with N-terminal COFRADIC we monitored the stability of 1,941human N-terminal proteoforms, including 147 proteoform pairs with heterogeneous N-termini originating from the same gene that result from alternative translation initiation and incomplete processing of the initiator methionine. N-terminally truncated proteoforms were on average less abundant than canonical proteoforms, many had different stabilities and exhibited both faster and slower turnover rates compared to their canonical counterparts. These differences in stability did not depend on the length of truncation but on individual protein characteristics. In silico simulation of N-terminal proteoforms in macromolecular complexes revealed possible consequences for complex integrity such as replacement of unstable canonical subunits. The extent of intrinsic disorder in N-terminal protein structures correlated with turnover times, indicating that a change in the structural flexibility of protein N-termini in truncated proteoforms might impact proteoform stability. Interestingly, removal of the initiator methionine by methionine aminopeptidases reduced the stability of processed proteoforms while susceptibility for N-terminal acetylation, another common co-translational modification, did not seem to impact on turnover rates. Taken together, our findings reveal differences in protein stability between N-terminal proteoforms and point to a role for alternative translation initiation and co-translational initiator methionine removal in the overall regulation of proteome homeostasis.	http://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD002091
Quantitative ER chemical proteomics with ER-localizable reactive molecules under ER-stress condition	The endoplasmic reticulum (ER) is an organelle that performs a variety of essential cellular functions via interactions with other organelles. Despite its important role, chemical tools for profiling the composition and dynamics of ER proteins remain very limited because of the labile nature of these proteins. Here, we developed ER-localizable reactive molecules (called ERMs) as tools for ER-focused chemical proteomics. ERMs can spontaneously localize in the ER of living cells and selectively label ER-associated proteins with a combined affinity and imaging tag, enabling tag-mediated ER protein enrichment and identification with liquid chromatography tandem-mass spectrometry (LC-MS/MS). The ERM probes could be used simultaneously with the nucleus- and mitochondria-localizable reactive molecules previously developed by our group, which enabled orthogonal organellar chemoproteomics in a single biological sample. Moreover, quantitative analysis of the dynamic changes in ER-associated proteins in response to tunicamycin-induced ER stress was performed by combining ER-specific labeling with SILAC (stable isotope labeling by amino acids in cell culture)-based quantitative MS technology. Our results demonstrated that ERM-based chemical proteomics provides a powerful tool for labeling and profiling ER-related proteins in living cells.	http://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD011619
Determination of Supplier-To-Supplier and Lot-To-Lot Variability in Glycation of Recombinant Human Serum Albumin Expressed in Oryza sativa	In studies presented here, recombinant human serum albumins (rHSA) produced in Oryza sativa (Asian rice) (OsrHSA) from a number of suppliers have been extensively characterized and compared to plasma-derived HSA (pHSA) and rHSA expressed in yeast (Pichia pastoris and Saccharomyces cerevisiae). Modifications of the samples were identified by liquid chromatography-mass spectrometry (LC-MS) with samples further assessed with size exclusion chromatography (SEC), reversed-phase high-performance liquid chromatography (RP-HPLC), capillary electrophoresis (CE) as well as additionally biophysical techniques. LC-MS analysis identified a greater number of hexose-glycated arginine and lysine residues on OsrHSA compared to pHSA or rHSA expressed in yeast. Lot-to-lot variability of OsrHSA glycation from one manufactures supplied products were further identified. The extensive glycation of OsrHSA from multiple suppliers may have further implications for the use of OsrHSA as a therapeutic product.	http://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD001248
Human pancreatic cancer LC-MSMS	Despite decades of effort, pancreatic adenocarcinoma (PDAC) remains an intractable clinical challenge. An insufficient understanding of mechanisms underlying tumor cell responses to chemotherapy contributes significantly to the lack of effective treatment regimens. Here, paclitaxel, a first-line chemotherapeutic agent, was observed to interact synergistically with birinapant, a Second Mitochondrial-derived Activator of Caspases mimetic. Therefore, we investigated molecular-level drug interaction mechanisms using comprehensive, reproducible, and well-controlled ion-current-based MS1 quantification (IonStar). In a set of 40 biological samples, we compared temporal proteomic responses of PDAC cells treated with birinapant and paclitaxel, alone and combined. Using stringent criteria (e.g. strict false-discovery-rate FDR control, 2 peptides/protein), we quantified 4069 unique proteins confidently (99.8% without any missing data), and 541 proteins were significantly altered in the three treatment groups with a FDR of <1%. Interestingly, most of these proteins were altered only by combined birinapant/paclitaxel, and these predominantly represented three biological processes: mitochondrial function, cell growth and apoptosis, and cell cycle arrest. Proteins responsible for activation of oxidative phosphorylation, fatty acid β-oxidation, and inactivation of aerobic glycolysis were altered largely by combined birinapant/paclitaxel compared to single drugs, suggesting that the Warburg effect, which is employed by PDAC cells for survival and proliferation, was alleviated by the combination treatment. Metabolic profiling confirmed substantially greater suppression of the Warburg effect by the combined agents compared to either drug alone. Western blot analysis confirmed changes in apoptosis/survival signaling pathways, such as inhibition of PI3K/AKT, JAK/STAT, and MAPK/ERK signal transduction, as well as induction of G2/M arrest, and the drug combination induced much more apoptosis than did single agents. Overall, this in-depth, large-scale proteomics study provided novel insights into molecular mechanisms underlying synergy of combined birinapant/paclitaxel, and describes a proteomics/informatics pipeline that can be applied broadly to the development of cancer drug combination regimens.	http://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD007890
Human_MCF7_membrane -  Searching Missing Proteins Based on the Optimization of Membrane Protein Enrichment and Digestion Process	MCF7 cell was an important stabilized breast cancer cell in cancer research. A membrane proteomic method was developed and compared in this study. A membrane protein enrichment method composed of ultra-centrifugation and detergent-based extraction was first developed. Then in-solution digestion with detergents and eFASP (enhanced filter aided sample preparation) with detergents were compared with the time consuming in-gel digestion method. Our data indicated that ultra-centrifugation combined detergent-based extraction can effectively enrich membrane proteins with higher purity. Among the in-solution digestion methods, the eFASP combined with RapiGest method identified 1125 membrane proteins. Similarly, the eFASP combined with SDC identified 1069 membrane proteins, however, the in-gel digestion characterized 1091 membrane proteins. Totally, with the 5 digestion methods, 1390 membrane proteins were identified with ≥1 unique peptides, among which 1345 membrane proteins contain unique peptides ≥2. This is the biggest membrane protein datasets for MCF7 cell line and even breast cancer tissue samples. Interestingly, we realized that 9 missing proteins (MPs) present with one or more unique peptides. After verification, 4 of them were validated by synthesized peptide with amino acids larger than 9.	http://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD004131
Improving fractionation of human milk proteins through calcium phosphate co-precipitation and their rapid characterization by capillary electrophoresis	This work describes a simple sample pretreatment method for the fractionation of human milk proteins (into their two main groups: whey and caseins) prior to their analysis. The protein extraction protocol is based on the addition of calcium phosphate to non-adjusted pH human milk. The combination of calcium ions with phosphate results in an effective co-precipitation of caseins. To assess the suitability of this fractionation protocol, the protein extracts were analyzed by SDS-PAGE, LC-MS/MS and CE analysis. The results evidence a significant decrease in contamination of casein fraction with whey proteins and vice versa compared with the conventional isoelectric precipitation of caseins. In addition, CE fraction collection coupled to LC-MS/MS (off-line coupling) has been successfully applied to the identification of minor proteins in this complex matrix. The methodology presented here constitutes a promising tool to enlarge the knowledge of human milk proteome.	http://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD010315
Update on virtual-experimental 2DE approach in chromosome-centric human proteome project	In the boundaries of chromosome-centric Human Proteome Project c-HPP to obtain information about proteoforms coded by chromosome 18, several cell lines were analyzed. In our study we have been using proteoform separation by 2DE (sectional analysis) and semi-virtual 2DE with following shotgun mass-spectrometry using LC ESI-MS/MS. Previously, we published a first draft of this research, where only HepG2 cells were used. Here, next step was done using liver, glioblastoma, fibroblasts, kidney cells and plasma. Altogether, confident (2 significant sequences minimum) information about proteoforms coded by ~80 genes was obtained. The 3D-graphs showing distribution of different proteoforms from the same gene in 2D map were generated. Additionally, semi-virtual 2DE approach allowed for detecting more proteoforms and estimate their pI more precisely	http://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD010142
In-depth and reproducibly quantitation of benchmark dataset consiting of 20 files	We prepared a benchmark dataset where the various levels of spikeed-in E. Coli proteome that true fold change (i.e. 1 fold, 1.5 fold, 2 fold, 2.5 fold and 3 fold) and true identities of positives/negatives (i.e. E.Coli proteins are true positives while Human proteins are true negatives) are known. To best mimic the proteomics application in comparison of multiple replicates, each fold change	http://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD005590
Determination of a tumor-promoting microenvironment in recurrent medulloblastoma: a multi-omics study of cerebrospinal fluid	Molecular characterization of medulloblastoma (MB) cell origin and properties is the basis for a well-defined classification system. However, limited data is available regarding the MB tumor microenvironment. Here we present a mass spectrometry-based multi-omics study of cerebrospinal fluid (CSF) from recurrent MB patients. A group of age-matched patients without a neoplastic disease was used as control cohort. Proteome profiling identified several characteristic tumor markers and revealed a strong prevalence of anti-inflammatory and tumor-promoting proteins characteristic for alternatively polarized myeloid cells in MB samples. The up-regulation of ADAMTS1, GAP43 and GPR37 indicated hypoxia in CSF of MB patients. This notion was independently supported by metabolomics, demonstrating up-regulation of tryptophan, methionine, serine and lysine, all of which have been described to be induced upon hypoxia in CSF. The beta-oxidation promoting lipid hormone 12,13-DiHOME was found strongly upregulated, potentially promoting a metabolic shift supporting drug resistance and stem cell properties of MB cells.	http://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD018226
Scanning quadrupole DIA -  Scanning Quadrupole Data Independent Acquisition - Part A	A scanning quadrupole data independent acquisition (DIA) method is described and characterised for the qualitative and quantitative label free proteomic analysis of complex biological samples. The principle of the scanning quadrupole DIA is discussed and the effect of the optimization of analytical instrument characteristics, such as acquisition speed, sample complexity, and scan/integration time in relation to sample complexity for a number of different model proteomes of various complexity and dynamic range, including plasma, human cell lines, and bacteria samples, discussed. In addition, its technological merits from an acquisition neutral perspective are reviewed. The qualitative and semi-quantitative performance of the method is illustrated and contrasted for the analysis of a well-characterised human cell line sample using untargeted and targeted search strategies. The application of the method is demonstrated for the analysis of the calcineurin-dependent proteome of drug treated Aspergillus fumigatus. The design of these experiments afforded assessment of the precision and accuracy of scanning quadrupole data independent acquisition (DIA) method as will be demonstrated by peptide and protein centric analysis of the study pool QC samples of the study. Moreover, novel and specific interactors in response to drug treatment that are indicative of the role of calcineurin role in regulating these effectors have been identified.	http://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD005869
Comparison of Lung Cancer Proteome Profiles 3: DIA	The goal of this project is to compare label free quantification, chemical labeling with tandem mass tags, and data independent acquisition discovery proteomics approaches using lung squamous cell carcinomas and adjacent lung tissues.	http://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD004684
PAXX and its paralogues synergistically direct DNA polymerase I activity in DNA repair	In this study, we characterised the interactomes of PAXX and its paralogs, XLF and XRCC4, to show that these factors share the ability to interact with DNA polymerase lambda (Poll), stimulate its activityand are required for the recruitment of Poll to laser-induced DNA damage sites.	http://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD010891
Simultaneous chemical proteomics of Nuclear, mitochondira and ER	The endoplasmic reticulum (ER) is an organelle that performs a variety of essential cellular functions via interactions with other organelles. Despite its important role, chemical tools for profiling the composition and dynamics of ER proteins remain very limited because of the labile nature of these proteins. Here, we developed ER-localizable reactive molecules (called ERMs) as tools for ER-focused chemical proteomics. ERMs can spontaneously localize in the ER of living cells and selectively label ER-associated proteins with a combined affinity and imaging tag, enabling tag-mediated ER protein enrichment and identification with liquid chromatography tandem-mass spectrometry (LC-MS/MS). The ERM probes could be used simultaneously with the nucleus- and mitochondria-localizable reactive molecules previously developed by our group, which enabled orthogonal organellar chemoproteomics in a single biological sample. Moreover, quantitative analysis of the dynamic changes in ER-associated proteins in response to tunicamycin-induced ER stress was performed by combining ER-specific labeling with SILAC (stable isotope labeling by amino acids in cell culture)-based quantitative MS technology. Our results demonstrated that ERM-based chemical proteomics provides a powerful tool for labeling and profiling ER-related proteins in living cells.	http://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD011501
CPTAC, TCGA Cancer Proteome Study of Colorectal Tissue: Proteome, VU, part 8	The goal of the CPTAC, TCGA Cancer Proteome Study of Colorectal Tissue is to analyze the proteomes of TCGA tumor samples that have been comprehensively characterized by molecular methods. Ninety-five TCGA tumor samples were used in this study.	http://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD002087
Senescence 1 -  Proteomic analysis reveals a role for Bcl2-associated athanogene 3 and major vault protein in resistance to apoptosis in senescent cells by regulating ERK1/2 activation	Bag3 and MVP regulate apoptosis resistance in Therapy Induced Senescence (TIS)	http://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD001012
YBEY is an essential biogenesis factor for mitochondrial ribosomes	The aim was to evaluate the protein composition of human mitoribosomes in YBEY knockout cells. We compared the parental cell line HEK293T-REx with the YBEY knockout cells HEK293T-RExΔYBEY.	http://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD015310
Dairy pastoralism sustained Eastern Eurasian steppe populations for 5000 years	Through the use of proteomic analysis of 32 dental calculus samples from anceint Mongolia, we show that ruminant  dairying was present in Mongolia by at least 3000 B.C.E., over 1500 years prior to previously published work. Excitingly, the earliest site with dairy evidence has been identified as archaeologically Afanasievo, supporting the hypothesis that dairy practices and animals likely entered the Eastern steppe with migrating western steppe populations. Furthermore, at 1200 B.C.E. we detect the first direct evidence for horse milk consumption, demonstrating the Bronze Age origins of equine dairying on the eastern steppe which occurred concomitantly with early evidence for horse bridling and riding in the region. The incorporation of horse milk and riding into early Mongolian subsistence strategies led to dramatic economic and demographic shifts that enabled the formation of the well-known steppe empires.	http://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD014730
Protein Corona of 60nm Silver Nanoparticles	We studied the composition of the protein corona formed on 60 nm silver nanoparticles with citrate coating interacted with the human blood plasma under various pH and temperature conditions. The protein corona was analyzed using LC-MS and label-free quantitation.	http://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD007648
Multi-OMICS data of a Hyper IgD Syndrome family	The aim of this study was to understand why two siblings carrying both the same homozygous causal mutation for the auto-inflammatory disease hyper IgD show opposite phenotypes, i.e. the first being asymptomatic, the second presenting all classical characteristics of the disease. As compared to studies of a single omics type, the multi-omics approach becomes a method of choice to resolve complex traits.  Here we combined exome, proteome and transcriptome analysis in the two siblings and identified a single gene - STAT1 - harboring a rare missense variant and showing mRNA and protein abundances significantly more important in the symptomatic than the asymptomatic sister. This mutation was shown to be a gain of function mutation involved in an increased activation of the JAK/STAT pathway which is known to play a critical role in inflammatory diseases and for which specific bio-therapies exist.  Pathway analysis based on information from differentially expressed transcripts and proteins confirmed the central role of STAT1 in the proposed regulatory network leading to an increased inflammatory phenotype in the symptomatic sibling. In addition, we provide a proteogenomics analysis pipeline that takes advantage of subject-specific genomic and transcriptomic information to improve protein identifications. In conclusion, this study demonstrates the power of a multi-omics approach to uncover potentially clinically actionable targets for a personalized therapy.	http://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD009063
Analysis of plasma proteome of pregnant women with polycystic ovary syndrome (PCOS	Polycystic ovary syndrome (PCOS) is the most common endocrinological disorder of fertile-aged women. PCOS has been associated with adverse pregnancy outcomes and abnormalities of the placenta. By taking a quantitative label-free quantitative proteomics approach we set out to investigate if changes in the plasma proteome of pregnant women with PCOS could elucidate the mechanisms behind the pathologies observed in PCOS pregnancies. We have performed label-free quantitative proteomics on plasma samples from pregnant women with PCOS at term (n=14) and plasma samples from pregnant control women (n = 23) matched for age, gestational length and BMI. The samples are derived from BASIC pregnancy cohort from Uppsala, Sweden. A total of 169 proteins with two or more unique peptides were identified.	http://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD012034
Urine EV Phosphoproteomics -  Highly Efficient Phosphoproteome Capture and Analysis from Urinary Extracellular Vesicles	Capture of urinary EVs with EVtrap and analysis of their phosphoproteome	http://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD010480
Contribution of primary human fibroblasts and endothelial cells to the hallmarks of inflammation as determined by proteome profiling - secreted proteins of inflammatory stimulated endothelial cells	While the most important players of inflammation have been well described, a systematic analysis of the proteins fulfilling the effector functionalities during inflammation has not yet been undertaken. Here we present a systematic proteome study of inflammatory activated primary human endothelial cells and fibroblasts. Cells were stimulated with interleukin 1-beta and fractionated in order to obtain secreted, cytoplasmic and nuclear protein fractions. Proteins were submitted to a data-dependent bottom up analytical platform using a QExactive orbitrap and the MaxQuant software for protein identification and label-free quantification. Results were further combined with similarly generated data previously obtained from the analysis of inflammatory activated peripheral blood mononuclear cells. Applying an FDR of less than 0.01 at both peptide and protein level, a total of 8235 protein groups assembled from 163858 peptides was identified. Comparative proteome analysis allowed us to determine proteins regulated in each kind of cells during inflammation. Remarkably, cells were working on similar inflammation-related tasks, however, by regulating different proteins. Thus, we were able to determine cell type-specific inflammatory signatures, apparently resulting from cell type-specific regulatory mechanisms. Hallmarks of inflammation emerged from these findings, representing commonly and cell type-specific responsibilities of cells during inflammation.	http://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD003411
Lack of activity of recombinant HIF prolyl hydroxylases (PHDs) on reported non-HIF substrates	Hypoxia Inducible Factor (HIF) prolyl hydroxylase domain (PHD) enzymes catalyse the posttranslational hydroxylation of conserved prolyl residues in the alpha-subunit of the HIF transcription factor. These modifications, which promote the degradation of HIF-alpha subunits by the pVHL E3 ligase complex and impart oxygen-dependent regulation of the HIF transcriptional response, have been extensively characterised at the molecular, cellular and organismal level. Since the discovery of the PHDs, a range of less well-characterised non-HIF substrates have been reported with the potential to confer oxygen-sensitivity to a diverse range of cellular processes. We sought to systematically compare all of the reported non-HIF substrates for their ability to support PHD-catalysed hydroxylation. We performed a comprehensive series of in vitro hydroxylation assays reacting synthetic peptides and full-length protein substrates generated by in vitro transcription and translation with purified recombinant enzyme preparations. Prolyl hydroxylation was assayed directly by mass spectrometry and radiochemical assay for hydroxyproline. Both methods enabled quantitative appraisal of enzyme-catalysed hydroxylation, with liquid chromatography mass spectrometry methods employing NMR-quantified peptide standards to calibrate retention time signatures and determine ionisation efficiencies for each target peptide. Using these approaches we assayed hydroxylation on 23 different proteins. Surprisingly, we did not detect measurable hydroxylation on any of the reported non-HIF substrates using either method. In contrast, control assays with HIF1-alpha substrate supported high stoichiometry (typically >90%) hydroxylation. Our findings suggest that PHD substrates are more restricted than has been reported.	http://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD013112
